Selection1,Selection2,WinRate1,WinRate2,DrawRate
UCT,UCT,20.380000000000003,19.85,59.77
UCT,UCB1tuned,15.459999999999999,20.169999999999998,64.37
UCT,reward,38.54,13.139999999999999,48.32
UCT,visited,72.53,10.66,16.81
UCB1tuned,UCB1tuned,14.899999999999999,15.540000000000001,69.56
UCB1tuned,reward,37.03,10.040000000000001,52.93
UCB1tuned,visited,71.26,9.11,19.63
reward,reward,31.3,31.77,36.93
reward,visited,62.49,19.08,18.43
visited,visited,44.05,44.95,11.0
