Selection1,Selection2,WinRate1,WinRate2,DrawRate
UCT,UCT,23.9,24.36,51.739999999999995
UCT,UCB1tuned,22.38,22.74,54.879999999999995
UCT,reward,35.5,21.23,43.269999999999996
UCT,visited,68.27,13.780000000000001,17.95
UCB1tuned,UCB1tuned,22.35,22.259999999999998,55.38999999999999
UCB1tuned,reward,35.02,20.07,44.91
UCB1tuned,visited,66.59,13.99,19.42
reward,reward,32.25,32.4,35.35
reward,visited,61.61,19.84,18.55
visited,visited,44.42,44.58,11.0
