Selection1,Selection2,WinRate1,WinRate2,DrawRate
UCT,UCT,33.56,33.68,32.76
UCT,UCB1tuned,32.08,32.31,35.61
UCT,reward,36.94,31.3,31.759999999999998
UCT,visited,61.99,21.4,16.61
UCB1tuned,UCB1tuned,31.31,31.36,37.330000000000005
UCB1tuned,reward,36.1,29.909999999999997,33.989999999999995
UCB1tuned,visited,60.4,21.4,18.2
reward,reward,34.0,34.96,31.04
reward,visited,58.77,23.75,17.48
visited,visited,43.71,45.28,11.01
