Selection1,Selection2,WinRate1,WinRate2,DrawRate
UCT,UCT,20.169999999999998,20.880000000000003,58.95
UCT,UCB1tuned,19.49,19.59,60.919999999999995
UCT,reward,36.15,16.93,46.92
UCT,visited,69.84,12.280000000000001,17.88
UCB1tuned,UCB1tuned,19.06,19.040000000000003,61.9
UCB1tuned,reward,36.03,15.540000000000001,48.43
UCB1tuned,visited,67.86999999999999,11.72,20.41
reward,reward,31.96,30.73,37.31
reward,visited,62.239999999999995,19.24,18.52
visited,visited,44.12,45.12,10.76
