Selection1,Selection2,WinRate1,WinRate2,DrawRate
UCT,UCT,19.75,19.89,60.36
UCT,UCB1tuned,16.75,19.43,63.82
UCT,reward,37.37,13.29,49.34
UCT,visited,72.1,10.68,17.22
UCB1tuned,UCB1tuned,15.14,15.36,69.5
UCB1tuned,reward,37.19,11.28,51.53
UCB1tuned,visited,69.24,10.0,20.76
reward,reward,31.119999999999997,31.269999999999996,37.61
reward,visited,62.63999999999999,19.05,18.310000000000002
visited,visited,45.95,44.26,9.790000000000001
